,competitor_name,country,lazada_sku,product_name_lazada,used_refurbished_lazada,product_bundle_lazada,product_url_lazada,retail_marketplace,product_views,competitor_id,used_refurbished_competitor,product_name_competitor,category_path,brand,list_price_competitor,promo_price_competitor,currency,variant_information,discount_savings,stock_information,rating,reviews,seller_name,product_description,specification,warranty,store_location,shipping_location_1,shipping_information_1,shipping_location_2,shipping_information_2,other_details_seller_rating,other_details_seller_reputation,other_details_product_condition,product_url_competitor,image_url_competitor,product_bundle_competitor,match,promotion_1,promotion_2,products_sold,transaction,avg_quality_rating_and_review,avg_accuracy_rating_and_review,total_transaction,list_price_lazada,promo_price_lazada,score,reason,file_type,cat_level_1,cat_level_4,similarity,input,error
22,Watsons Philippines,PH,4094337316_PH-22511961103,Buy 1 Take 1 NIVEA Face Care Acne Repair Spot Serum to reduce acne marks 15ml,,,https://www.lazada.com.ph/products/-i4094337316-s22511961103.html,Marketplace,,,,Face Care Acne Repair Spot Serum: Reduces acne marks in 3 days 15ml,Home>Skin Care>Facial Moisturizer>For Women,NIVEA,385,385,PHP,,,,5,14,,"NIVEA Face Care Acne Repair Spot Serum: Reduces acne marks in 3 days 15mlThe NIVEA Acne Repair Spot Serum reduces acne marks in 3 days. Acting on the multiple causes of acne, it helps you achieve visibly clearer skin by rebalancing the skin in five (5) ways:1. Promotes skin renewal with 99% Pure Sea Salt2. Soothes skin with Licorice Extract 3. Helps skin exfoliation with Salicylic Acid 4. Controls oiliness with Carnitine  5. Adds to skin moisture with skin Sodium Hyaluronate For best results, complete your anti-acne routine with the full NIVEA Acne Repair range. Use twice daily.With more than 130 years of experience, NIVEA is a market leader in the global skincare industry. Our researchers work extensively with different skin types to provide high quality products to suit all your skin needs and are dedicated to continually improving our products and finding new breakthroughs in effective skincare. - Part of the NIVEA Acne Repair range, it acts on the multiple causes of acne and helps you achieve visibly clearer skin with its 5 key ingredients- Acne spot treatment visibly reduces acne spots in 3 days*- Contains salicylic acid to help skin exfoliation- Skin Compatibility Dermatologically Approved- No added Paraben, SLS, Hydroquinone & Petroleum DistillatePlace of OriginThailandProduct UsageApply to your face in˜small tapping motions with your fingertips or your palms. Ingredients Aqua, Alcohol Denat., Glycerin, Dimethicone, Salicylic Acid, Hydroxyethylcellulose, Carnitine, Tocopheryl Acetate, Maris Sal, Sodium Hyaluronate, Glycyrrhiza Glabra Root Extract, Xanthan Gum, Sodium Hydroxide, Disodium Phosphate, Sodium Phosphate, ParfumWidth4Height13Depth2",,,,,,,,,,,https://www.watsons.com.ph/face-care-acne-repair-spot-serum-reduces-acne-marks-in-3-days-15ml/p/BP_50036441,"['https://api.watsons.com.ph/medias/zoom-front-50036441.jpg?context=bWFzdGVyfGltYWdlc3wyNjM1MzV8aW1hZ2UvanBlZ3xhRFZrTDJnME1pOHhNVEExTWpreE5EVXdOemd3Tmk5WFZFTlFTQzAxTURBek5qUTBNUzFtY205dWRDNXFjR2N8MTE0NzVmMzU1YjcyYjFiODVlODUxZDg1ZmI3N2JmZjY4YWRmYzZjNDY2MjAxMGRiYjk1YWFmODllZjEyZjg1NA', 'https://api.watsons.com.ph/medias/zoom-side-50036441.jpg?context=bWFzdGVyfGltYWdlc3wzMDk3MzV8aW1hZ2UvanBlZ3xhR1EwTDJnMFlpOHhNVEExTWpreE5ESTNPRFF6TUM5WFZFTlFTQzAxTURBek5qUTBNUzF6YVdSbExtcHdad3w4YjMyYzYxYzFhNDM1NTVjOGJjOWYzYTZiYWViZjNkMGJkMjIxMDAxYjljNGZhY2ZmNzI2MmE3YWZhZWExMmNm', 'https://api.watsons.com.ph/medias/zoom-back-50036441.jpg?context=bWFzdGVyfGltYWdlc3wyMjA2MDd8aW1hZ2UvanBlZ3xhRGt6TDJnMFppOHhNVEExTWpreE5ERTBOek0xT0M5WFZFTlFTQzAxTURBek5qUTBNUzFpWVdOckxtcHdad3w2YzM5MmNmNWQwMDFiNjJjODEzZGVmMDRiZDJkYjlmNTM5ZTMyNzcxYzc2YmQ4Y2I2ZTJiYmI3ZDZjNmVlMDY5']",,,,,,,,,,,,,,,Skin Care,For Women,86.0,"{'venture': 'PH', 'sku': '4094337316_PH-22511961103', 'product_name': 'Buy 1 Take 1 NIVEA Face Care Acne Repair Spot Serum to reduce acne marks 15ml', 'brand_name': 'Nivea', 'brand_name_en': 'Nivea', 'retail_marketplace': 'Marketplace', 'crossborder': 'Non-Crossborder', 'warranty_type': 'Local Supplier Warranty', 'warranty_period': '7 Days', 'currency': 'PHP', 'cat_level_1': 'Beauty', 'cat_level_2': 'Skin Care', 'cat_level_3': 'Spots & Blemishes', 'product_url': 'https://www.lazada.com.ph/products/-i4094337316-s22511961103.html', 'image_url': 'https://ph-live.slatic.net/p/4cae542bf5cfba5d9ef5301930203ef7.png', 'business_type': 'LazMall', 'product_name_en': '', 'model_name': '', 'color': '', 'product_measures': '', 'product_description': '', 'cat_level_4': ''}",
24,Watsons Philippines,PH,387160977_PH-885860454,BEAR BRAND Fortified Powdered Milk Drink 840g (freebies until supplies last),,,https://www.lazada.com.ph/products/-i387160977-s885860454.html,Supermart,,,,BEAR BRAND Fortified  Powdered Milk Drink 680G,"Home>Health and RX>Milk, Diet and Fitness>Adult Nutritional",BEAR BRAND,249,249,PHP,,,,,,,"BEAR BRAND Powdered Milk Drink  680gPlace of OriginPhilippinesProduct UsageI-check ang expiration date ng packs bago buksan. Dapat walang butas, sira, at hindi lumulobo ang pack. Siguraduhing maayos ang pagkakasara ng pack o ng paglalagyan, at hindi maiiwan sa basa o mainit na lugar. Ingredients Milk products (Skimmed milk, Buttermilk), Glucose syrup, Vegetable oil, Sugar, Minerals (Calcium, Iron, Zinc), Emulsifiers (Soya lecithin, Mono- and diglycerides of fatty acids, Sodium polyphosphate, Disodium phosphate, Sodium citrate), Caseinate, Vitamins (C, E, B6, B1, Pantothenic acid, A, B2, D, Biotin, B12), Natural flavors (Milk)Width14.1Height6Depth18",,,,,,,,,,,https://www.watsons.com.ph/bear-brand-fortified-powdered-milk-drink-680g/p/BP_50044765,['https://api.watsons.com.ph/medias/zoom-front-50044765.jpg?context=bWFzdGVyfGltYWdlc3w0MjcwNjJ8aW1hZ2UvanBlZ3xhRGt3TDJnME15OHhNekEwTnpJME16TTNORFl5TWk5WFZFTlFTQzAxTURBME5EYzJOUzFtY205dWRDNXFjR2N8NjZjOTY2MjUwYmQ3M2VkNmFmNTBmMGY5NjkxYzUzZTU5NDUzMTIyN2FiNTNiY2Q2YzhjZGViZDZjMmE5ZDc4NQ'],,,,,,,,,,,,,,,Health and RX,Adult Nutritional,94.0,,
