,competitor_name,country,lazada_sku,product_name_lazada,used_refurbished_lazada,product_bundle_lazada,product_url_lazada,retail_marketplace,product_views,competitor_id,used_refurbished_competitor,product_name_competitor,category_path,brand,list_price_competitor,promo_price_competitor,currency,variant_information,discount_savings,stock_information,rating,reviews,seller_name,product_description,specification,warranty,store_location,shipping_location_1,shipping_information_1,shipping_location_2,shipping_information_2,other_details_seller_rating,other_details_seller_reputation,other_details_product_condition,product_url_competitor,image_url_competitor,product_bundle_competitor,match,promotion_1,promotion_2,products_sold,transaction,avg_quality_rating_and_review,avg_accuracy_rating_and_review,total_transaction,list_price_lazada,promo_price_lazada,score,reason,file_type,cat_level_1,cat_level_4,similarity,input_product_name,input_brand_name,input_product_url,input_venture,input_sku,input_retail_marketplace,input_crossborder,input_color,input_warranty_type,input_currency,input_cat_level_1,input_cat_level_2,input_image_url,input_business_type,input_category,input_description,input_product_name_en,input_brand,input_model_name,input_product_measures,input_warranty_period,input_product_description,input_cat_level_3,input_cat_level_4,warning,warning_code,error
63,Tiki VN,Vietnam,2583500030_VNAMZ-12591861767,Tinh chất dưỡng cho da mụn Eucerin Pro Acne SOS Serum 40ml/10ml,,,https://www.lazada.vn/products/-i2583500030-s12591861767.html,,,,,Tinh Chất Dưỡng Phục Hồi Cho Da Mụn Eucerin Pro Acne SOS Serum 40ml,Làm Đẹp - Sức Khỏe > Chăm sóc da mặt > Kem và sữa dưỡng da > Kem dưỡng trị mụn và phục hồi,Eucerin,519000,363000,VND,,156000.0,out of stock,,,PICARE VIET NAM,"1. Công dụng:- Sau khi nổi mụn, da dễ trở nên nhạy cảm, nên cần sử dụng sản phẩm nhẹ nhàng. Tuy nhiên, các sản phẩm nhẹ thường không có hiệu quả cao, nên mụn tiếp tục xuất hiện. ProAcne SOS Serum là giải pháp đầu tiên hướng đến việc tăng cường phòng thủ tự nhiên của da, giúp giảm mụn hiệu quả và đảm bảo ZERO mụn mới quay trở lại.- Với phức hợp 3X axit, Carnitine, Decanediol và Licochalcone A, được chứng minh giúp giảm mụn hiệu quả và tăng cường hệ miễn dịch cho da mụn, đảm bảo ZERO mụn mới quay trở lại.Phù hợp cho da mụn2. Thành phần- Phức hợp Axit (AHA/BHA/PHA) đã được chứng minh giúp giảm mụn nhanh chóng mà không gây tác dụng phụ (Đỏ, rát, bong tróc da)- Carnitine, Decanediol và Licochalcone A giúp giảm dầu thừa, vô hiệu hóa vi khuẩn có hại, giảm tiền viêm dưới da, từ đó tăng cường đề kháng da để ZERO mụn mới- Không chứa cồn, hương liệu, paraben & không tác dụng phụ​- Aqua, Caprylic/Capric Triglyceride, Methylpropanediol, Butylene Glycol, Panthenol, Lactic Acid, Cetearyl Alcohol, Gluconolactone, Glyceryl Stearate SE, Carnitine, Salicylic Acid, Octyldodecanol, Pentaerythrityl Tetraisostearate, Pentylene Glycol, Sodium Hydroxide, Hydroxypropyl Starch Phosphate, Dimethicone, Stearic Acid, Decylene Glycol, Xanthan Gum, Hydroxyacetophenone, Sodium Stearoyl Glutamate, Sclerotium Gum, Glycyrrhiza Inflata Root Extract, Trisodium Ethylenediamine Disu3. Hướng dẫn sử dụng- Áp dụng hai lần mỗi ngày lên khuôn mặt đã được làm sạch. Không sử dụng trên da bị kích ứng. Ban ngày độ nhạy cảm của da với ánh nắng mặt trời có thể tăng, hãy sử dụng với kem chống nắng.4. Hướng dẫn bảo quản- Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp hoặc nơi có nhiệt độ cao.- Tránh xa tầm tay trẻ em.- Đậy nắp kín sau khi sử dụng.***Mẫu mã bao bì có thể thay đổi theo quy định của nhãn hàngGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....","1. Công dụng:- Sau khi nổi mụn, da dễ trở nên nhạy cảm, nên cần sử dụng sản phẩm nhẹ nhàng. Tuy nhiên, các sản phẩm nhẹ thường không có hiệu quả cao, nên mụn tiếp tục xuất hiện. ProAcne SOS Serum là g...",, ,,,,,,,,https://tiki.vn/tinh-chat-duong-phuc-hoi-cho-da-mun-eucerin-pro-acne-sos-serum-40ml-p274724164.html?spid=274724165,"[""https://salt.tikicdn.com/cache/w1200/ts/product/5c/7c/5f/3b429953d4bf7bb0284365e38f7be498.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/17/54/8b/4b971e8e889b37c8d3e5797dbd66566e.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/06/59/5e/73cf7838382e483c976a61a18b7510ee.png""]",,,,, ,,,,,,,,,,,,89,Tinh chất dưỡng cho da mụn Eucerin Pro Acne SOS Serum 40ml/10ml,Eucerin,https://www.lazada.vn/products/-i2583500030-s12591861767.html,VN,2583500030_VNAMZ-12591861767,Marketplace,Non-Crossborder,,,VND,Beauty,Skin Care,https://vn-live.slatic.net/p/de0e0c930ccc5bfac50faa7b5b83e53f.jpg,LazMall,,,,,,,,,Serum & Essence,,,,
121,Tiki VN,Vietnam,732880703_VNAMZ-1878270790,[ESTÉE LAUDER x CHLOE] Tinh chất phục hồi chống lão hóa Estee Lauder Advanced Night Repair Synchronized Multi-Recovery 50ml,,,https://www.lazada.vn/products/-i732880703-s1878270790.html,,2.0,,,Tinh chất phục hồi chống lão hóa Estee Lauder Advanced Night Repair Synchronized Multi-Recovery 50ml,Làm Đẹp - Sức Khỏe > Chăm sóc da mặt > Chăm sóc vùng da mắt > Kem mắt,Estée Lauder,3800000,2689000,VND,,1111000.0,out of stock,5.0,2.0,MỸ PHẨM GLOW BEAUTY,"Tinh chất Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex serum top 1 thế giới siêu huyết thanh có sức mạnh thần kỳ chống lại tất cả các dấu hiệu lão hóa da.Tinh chất số #1 cùng công thức đột phá, cải tiến dành cho tất cả mọi người giúp tăng sức mạnh trẻ hóa, ngăn ngừa mọi dấu hiệu lão hóa và khởi động nhanh sự phục hồi tự nhiên của da từ những tác động môi trường hàng ngày. Công nghệ tín hiệu nguồn ChronoluxTM độc quyền từ quy trình lên men các peptide và thành phần dẫn xuất từ thực vật còn giúp làn da gia tăng sự sản sinh collagen tự nhiên, tái tạo tế bào mới để làn da săn chắc hơn. Thêm vào đó, thành phần Hyaluronic Acid nồng độ cao giúp khóa ẩm trong 72h, cung cấp đầy đủ độ ẩm cho da, tạo ra môi trường lý tưởng cho quy trình tự phục hồi của da. Chai đựng tinh chất mới được tạo thành từ chất liệu thủy tinh tái chế, hình dáng đẹp, hiện đại, sang trọng, dễ dàng nhìn được lượng dung dịch bên trong.Công dụng serum chống lão hoá da Estee Lauder thế hệ mới:Siêu serum chống lão hoá phục hồi da Top 1 thế giới.Tác động trực tiếp vào rãnh nhăn và nếp nhănKhắc phục triệt để vấn đề khô da, độ ẩm khoá ẩm.Tinh chỉnh làn da, giải quyết vần đề da xỉn màu, tối màu, làm đồng đều màu da.Da mịn màng, tươi mới, trẻ trung, rạng rỡ hơn và đều màu.Kết cấu da mịn hơn, tinh tế hơn và làm tăng đáng kể độ sáng rõ và săn chắc của da.Chi tiết:Serum Advanced Night Repair Synchronized Multi-Recovery Complex làm mờ các đường nhăn và nếp nhăn, chống lại các dấu hiệu lão hóa. Siêu dưỡng ẩm, công thức làm đầy đặn bề mặt với độ ẩm, làm mịn bề mặt da. Nạp lại vẻ rạng rỡ cho bạn, huyết thanh giúp làm sáng da, để lại tông màu và kết cấu đều hơn. Hơn thế nữa, công thức bảo vệ da chống lại các tác nhân môi trường hàng ngày của cuộc sống, bao gồm ô nhiễm và ánh sáng xanh.Công nghệ Chronolux Power Signal Technology, huyết thanh thẩm thấu nhanh và sâu này giúp giảm thiểu các dấu hiệu lão hóa do tác động của môi trường trong cuộc sống hiện đại. Da trông mịn màng hơn và ít lót hơn, trẻ trung, rạng rỡ hơn và đều màu. Tăng cường sản xuất collagen tự nhiên của da.Hàm lượng Hyaluronic Acid cao giúp cấm ẩm và khóa ẩm suốt 72 giờ tạo ra môi trường hoàn hảo để tối ưu hóa quá trình phục hồi sửa chữa tự nhiên của da.Giúp bảo vệ da chống lại các tác động của các gốc tự do từ các nguồn môi trường như ô nhiễm, ôzôn, ánh sáng xanh, tia hồng ngoại và bụi siêu nhỏ. Cung cấp khả năng bảo vệ chống oxy hóa kéo dài 8 giờ để bảo vệ cả ngày trước các tác động của môi trường và giúp giữ cho làn da trẻ lâu hơn.Không chứa sulfat SLS và SLES, paraben, phthalates và dầu khoáng. Đã được bác sỹ da liễu và nhãn khoa kiểm nghiệm.Bao bì có thể tái chế 100% bảo vệ môi trườngCách sử dụng serum chống lão hoá Estée Lauder hiệu quảSử dụng serum sau bước làm sạch da bao gồm rửa mặt và lotion/tonnerTrước khi bước kem dưỡng.Bom lấy serum bằng ống nhỏ giọt. Nhẹ nhàng thoa đều trên khắp mặt và cổ.Kết hợp với mát xa và vổ nhẹ nhàng.Sử dụng ngày 2 lần sáng và tối.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Tinh chất Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex serum top 1 thế giới siêu huyết thanh có sức mạnh thần kỳ chống lại tất cả các dấu hiệu lão hóa da.Tinh chất số #1 cùn...,, ,,,,,,,,https://tiki.vn/tinh-chat-phuc-hoi-chong-lao-hoa-estee-lauder-advanced-night-repair-synchronized-multi-recovery-50ml-p177499916.html?spid=177499919,"[""https://salt.tikicdn.com/cache/w1200/ts/product/bf/0e/6e/fb4db348fb842600e16be49a646a1d20.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/79/3a/d3/5f34bacdf7068ca84c183328916b817f.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/ff/5b/af/9c18119ddcc5bd0f5675959614b4cf8e.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/b4/43/87/98f4ad27585829352a68240c08ffaf43.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/62/a3/e2/9b447f946d92bd59541c7dbdb95037e5.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/b1/3b/43/490d2ed92d95661f36f780029fbfbb1d.jpg""]",,,,,10,,5.0,,,,,,,,,,90,[ESTÉE LAUDER x CHLOE] Tinh chất phục hồi chống lão hóa Estee Lauder Advanced Night Repair Synchronized Multi-Recovery 50ml,Estee Lauder,https://www.lazada.vn/products/-i732880703-s1878270790.html,VN,732880703_VNAMZ-1878270790,Marketplace,Non-Crossborder,Not Specified,No Warranty,VND,Beauty,Skin Care,https://filebroker-cdn.lazada.vn/kf/Sce6563e3a429466eba0d812741818c0dM.jpg,LazMall,,,ESTÉE LAUDER x CHLOE Tinh chất phục hồi chống lão hóa Estee Lauder Advanced Night Repair Synchronized MultiRecovery 50ml,,ANR SYNCH MLT RCVR CMPLX,,,ĐỘC QUYỀN 09.05Mua: Tinh chất (Serum) phục hồi chống lão hóa Estee Lauder Advanced Night Repair Synchronized MultiRecovery 50ml,Serum & Essence,,,,
130,Tiki VN,Vietnam,2041435776_VNAMZ-9528185216,Thùng 24 Chai Nước Tăng Lực Sting Dâu (330ml/chai),,,https://www.lazada.vn/products/-i2041435776-s9528185216.html,,764.0,,,Thùng 24 Chai Nước Tăng Lực Sting Đỏ Dâu (330ml/Chai),Bách Hóa Online > Đồ uống > Nước ngọt & đồ uống không cồn > Nước tăng lực & đồ uống thể thao,Sting,280000,234000,VND,,46000.0,in stock,5.0,764.0,Tiki Trading,"Được ra đời 2003, Sting - một sản phẩm nước tăng lực chất lượng của Tập đoàn PepsiCo - đã nhanh chóng trở thành thương hiệu được giới trẻ đón nhận nồng nhiệt. Với vị ngon sảng khoái, cùng công thức có chứa taurine, inositol, vitamin B, kết hợp cùng nhân sâm, mang đến cho bạn nguồn năng lượng mạnh mẽ, để biến mỗi ngày của bạn thành một cuộc phiêu lưu kỳ thú.Nước tăng lực Sting hương dâu tây đỏ với vị dâu ngon sảng khoái cùng công thức chứa Hồng sâm 4 năm tuổi, cho bạn nguồn năng lượng mạnh mẽ để biến mỗi ngày thành một cuộc phiêu lưu.Thiết kế: Chai nhựa 330ml nhỏ gọnSố lượng: 24 chai/ thùngHSD: 06 tháng kể từ ngày sản xuấtBảo quản nơi sạch sẽ, khô ráo thoáng mát, tránh ánh nắng mặt trời.#Sting #stingdau #nuoctangluc #BatNangLuong #SongButPhaGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....","Được ra đời 2003, Sting - một sản phẩm nước tăng lực chất lượng của Tập đoàn PepsiCo - đã nhanh chóng trở thành thương hiệu được giới trẻ đón nhận nồng nhiệt. Với vị ngon sảng khoái, cùng công thư...",, ,,,,,,,,https://tiki.vn/thung-24-chai-nuoc-tang-luc-sting-do-dau--330ml-chai--p1085852.html?spid=2499601,"[""https://salt.tikicdn.com/cache/w1200/ts/product/a9/8d/eb/c0c422c4ed8ea093596f714b8e4c9b23.png"",""https://salt.tikicdn.com/cache/w1200/media/catalog/producttmp/b8/93/81/a73668e580e1460f944bff9f828d6715.PNG"",""https://salt.tikicdn.com/cache/w1200/media/catalog/producttmp/dc/05/a3/8b3815e58eea4c72b41ac988d30d81bb.PNG"",""https://salt.tikicdn.com/cache/w1200/media/catalog/producttmp/79/85/2e/c435bf964c76b0169ec31cb9f3b006d6.PNG"",""https://salt.tikicdn.com/cache/w1200/ts/product/ab/e5/a5/573bb19f9167e06083d8af9bf7d0ca95.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/ac/aa/67/0cf975f41810362af30cfe0cfb7932b2.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/30/6a/52/437f1da15b7adff2a39a93bc3d59ff33.JPG""]",,,,,14315,,5.0,,,,,,,,,,97,Thùng 24 Chai Nước Tăng Lực Sting Dâu (330ml/chai),Sting,https://www.lazada.vn/products/-i2041435776-s9528185216.html,VN,2041435776_VNAMZ-9528185216,Marketplace,Non-Crossborder,,,VND,Groceries,Drinks,https://vn-live.slatic.net/p/fa9a282964133f1e4fb404079a151969.jpg,LazMall,,,,,,,,,Sports & Energy Drinks,Energy Drinks,,,
131,Tiki VN,Vietnam,2041435776_VNAMZ-9528185216,Thùng 24 Chai Nước Tăng Lực Sting Dâu (330ml/chai),,,https://www.lazada.vn/products/-i2041435776-s9528185216.html,,684.0,,,Thùng 24 Lon Nước Tăng Lực Sting Dâu (320ml/Lon),Bách Hóa Online > Đồ uống > Nước ngọt & đồ uống không cồn > Nước tăng lực & đồ uống thể thao,Sting,280000,248000,VND,,32000.0,in stock,4.7,684.0,Tiki Trading,"Thùng 24 Lon Nước Tăng Lực Sting Dâu (320ml/Lon) - Đang mệt mỏi, uể oải? Nạp ngay Sting Dâu - Bật Gaz Sảng Khoái, Sung Sức Tức Thì!Sting - với công thức chứa Hồng sâm 4 năm tuổi và vị dâu ngon sảng khoái không đổi - cho bạn nguồn năng lượng mạnh mẽ để biến mỗi ngày thành một cuộc phiêu lưu!Với cam kết chất lượng trong từng sản phẩm. Sting, được sản xuất và đóng chai bởi dây chuyền công nghệ khép kín hiện đại theo tiêu chuẩn quốc tế của PepsiCo.Thành phần nguyên liệu và sắc đỏ của Sting phù hợp quy định vệ sinh an toàn thực phẩm. Một thức uống an toàn cho bạn nguồn năng lượng mạnh mẽ để sống bứt phá.Sting, chỉ một cam kết chất lượng từ nhà sản xuất của Pepsi!!!Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....","Thùng 24 Lon Nước Tăng Lực Sting Dâu (320ml/Lon) - Đang mệt mỏi, uể oải? Nạp ngay Sting Dâu - Bật Gaz Sảng Khoái, Sung Sức Tức Thì!Sting - với công thức chứa Hồng sâm 4 năm tuổi và vị dâu ngon sảng ...",, ,,,,,,,,https://tiki.vn/thung-24-lon-nuoc-tang-luc-sting-dau-320ml-lon-p98329162.html?spid=98329163,"[""https://salt.tikicdn.com/cache/w1200/ts/product/14/07/45/4b571835d6563aa4742cf9bc3ab57fbb.JPG"",""https://salt.tikicdn.com/cache/w1200/ts/product/00/3d/f8/98a6dd50982f68d17986b9b65456f479.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/fa/ba/e9/804df14d9379fe4040366793ab78e28e.PNG"",""https://salt.tikicdn.com/cache/w1200/media/catalog/producttmp/69/5d/9a/7de1b52ba1928410f57eccacd3554eed.PNG"",""https://salt.tikicdn.com/cache/w1200/media/catalog/producttmp/22/10/e8/7de6b57d5eb8ac17fb7948960995c958.PNG"",""https://salt.tikicdn.com/cache/w1200/media/catalog/producttmp/3f/c9/36/b7dca12438e817b54073ac02d83c7639.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/0d/63/c4/901a82840f0316e902b40a363bfd956b.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/ac/aa/67/e236dec2ec0e4218976dd219334ef93e.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/67/a3/62/6ffc8f9b3d266e59236f8837ce1fdf22.png""]",,,,,7195,,4.7,,,,,,,,,,84,Thùng 24 Chai Nước Tăng Lực Sting Dâu (330ml/chai),Sting,https://www.lazada.vn/products/-i2041435776-s9528185216.html,VN,2041435776_VNAMZ-9528185216,Marketplace,Non-Crossborder,,,VND,Groceries,Drinks,https://vn-live.slatic.net/p/fa9a282964133f1e4fb404079a151969.jpg,LazMall,,,,,,,,,Sports & Energy Drinks,Energy Drinks,,,
140,Tiki VN,Vietnam,2473440459_VNAMZ-12110921869,Combo 2 Nước Xả Vải Comfort Thiên Nhiên Thanh Khiết Hương Hoa Linh Lan & Kiwi Tươi 3.0L,,,https://www.lazada.vn/products/-i2473440459-s12110921869.html,,1.0,,,Combo 2 Túi Nước Xả Vải Comfort Thiên Nhiên Thanh Khiết Hương Hoa Anh Đào & Đào Tươi 3.0L,Chăm sóc nhà cửa > Giặt giũ & Chăm sóc quần áo > Nước xả vải,Comfort,476000,399000,VND,,77000.0,in stock,4.0,1.0,Tiki Trading,"RA MẮT NƯỚC XẢ COMFORT THIÊN NHIÊN THANH KHIẾT MỚI - HƯƠNG HOA ANH ĐÀO & ĐÀO TƯƠINước xả làm mềm vải Comfort Thiên Nhiên Thanh Khiết chính là lựa chọn hoàn hảo cho những ai yêu thích hương thơm nhẹ nhàng, thanh dịu và không nồng gắt trên áo quần. Với tinh dầu nước hoa 100% thiên nhiên* được chưng cất tỉ mỉ, Comfort mang đến hương thơm lấy cảm hứng từ Hoa Anh Đào & Đào Tươi mọng nước, tỏa hương tươi mát trong lành, không nồng gắt và bền lâu trên quần áo suốt 100 giờ^. * ƯU ĐIỂM NỔI BẬT:- Hương thơm thiên nhiên mang cảm hứng từ Hoa Anh Đào và Đào Tươi thanh ngọt, dịu nhẹ.- Tinh dầu 100% thiên nhiên*, hương hoa cỏ và trái cây cao cấp. - Lưu hương bến lâu trên áo quần đến 100 giờ^.- Công thức dưỡng mềm vải ưu việt từ Comfort.* HIỆU QUẢ SỬ DỤNG- Mang đến cho áo quần hương thơm thanh nhẹ và dễ chịu, lưu hương bền lâu.- Chăm sóc quần áo mềm mại, giúp quần áo giữ dáng và bền màu.* HƯỚNG DẪN SỬ DỤNGGIẶT TAY:Dùng lượng tương đương 1/2 nắp (nắp 40 ml) cho 10-15 chiếc quần áo.Hòa Comfort Thiên Nhiên Thanh Khiết vào nước xả cuối, đảm bảo lượng nước đủ ngập hết quần áo.Ngâm quần áo 10-15 phút. Sau đó vắt và phơi khô.GIẶT MÁY:Đổ Comfort Thiên Nhiên Thanh Khiết vào ngăn chứa nước xả vải.Dùng lượng tương đương 1 nắp (nắp 40 ml) cho một lần giặt thông thường.Điều chỉnh lượng dùng tùy vào số lượng và chất liệu quần áo.* XUẤT XỨ THƯƠNG HIỆU- Nơi sản xuất: Việt Nam - Ngày sản xuất: Xem trên bao bì sản phẩm - Hạn sử dụng: 3 năm kể từ ngày sản xuất - Thành phần: Xem trên bao bì sản phẩm - Hướng dẫn bảo quản: Nơi thoáng mát, tránh ánh nắng trực tiếp * Tinh dầu Phong Lữ và tinh dầu Cam trong chất thơm.^ Dựa trên kết quả đánh giá nội bộ trên vải trong điều kiện thí nghiệm. Kết quả thực tế có thay đổi. Tag: nước xả, nuoc xa, nước xả quần áo, nuoc xa quan ao, nước xả vải, nuoc xa vai, nước xả Comfort, nuoc xa Comfort, nước xả vải Comfort, nuoc xa vai Comfort, nước xả Comfort thiên nhiên, nuoc xa Comfort thien nhien, nước xả Comfort hương trái cây, nuoc xa Comfort huong trai cay, nước xả thơm dễ chịu, nuoc xa thom de chiu, nước xả thơm lâu, nuoc xa thom lau, nước xả lưu hương dài lâu, nuoc xa luu huong dai lau, Comfort, Comfort thiên nhiên, Comfort thien nhien, nước xả Comfort thiên nhiên, nuoc xa Comfort thien nhien.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",RA MẮT NƯỚC XẢ COMFORT THIÊN NHIÊN THANH KHIẾT MỚI - HƯƠNG HOA ANH ĐÀO & ĐÀO TƯƠINước xả làm mềm vải Comfort Thiên Nhiên Thanh Khiết chính là lựa chọn hoàn hảo cho những ai yêu thích hương thơm n...,, ,,,,,,,,https://tiki.vn/combo-2-tui-nuoc-xa-vai-comfort-thien-nhien-thanh-khiet-huong-hoa-anh-dao-dao-tuoi-3-0l-p273244834.html?spid=273244835,"[""https://salt.tikicdn.com/cache/w1200/ts/product/f2/60/34/f2bb82e8987b73bae27bef5ed701425f.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/52/07/13/2ad84092c7a8393f77247dd5623c8dda.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/62/5c/9f/b451b545883540d84d90ed5844d91d64.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/71/8b/25/b798d0cf9fb68c1e68e39f57a2aa5983.png"",""https://salt.tikicdn.com/cache/w1200/ts/product/65/ba/fc/dfb86f06bac2bb33e8359b6fc6d5645a.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/54/8d/63/5061f7ae0880f2023c5a11d250787f10.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/3a/72/a2/6728691b651abecb1c604a41a9f8c27c.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/53/30/44/3dee6e6ed2eab56b2519e07292e691a2.jpg"",""https://salt.tikicdn.com/cache/w1200/ts/product/ef/5b/cc/701421fedf98dd8816d1f7e59350926e.jpg""]",,,,,4,,4.0,,,,,,,,,,89,Combo 2 Nước Xả Vải Comfort Thiên Nhiên Thanh Khiết Hương Hoa Linh Lan & Kiwi Tươi 3.0L,COMFORT,https://www.lazada.vn/products/-i2473440459-s12110921869.html,VN,2473440459_VNAMZ-12110921869,Marketplace,Non-Crossborder,,No Warranty,VND,Household Supplies,Laundry Supplies,https://filebroker-cdn.lazada.vn/kf/S515d5310a9274d19b4ec2368924fbbe7Y.jpg,LazMall,,,,,,,,,Fabric Conditioner,,,,
